family,m,r,k,seed,step,edge,old_weight,delta,changed_entries,active_row_descriptors,compression_ratio,max_cyclic_intervals_per_row,interval_violations,support_equivalence,unique_row_interval_shapes,bitonic_rows_tested,bitonic_violations,unimodal_peak_violations,max_slack_sign_turns
triangulated,10,100,36,0,1,"((4, 6), (5, 7))",1.6581657431261019,0.5189940363789545,116,18,6.444444444444445,1,0,True,8,17,0,0,1
triangulated,10,100,36,0,2,"((4, 2), (5, 3))",1.2455427556322063,0.7381304002762239,120,21,5.714285714285714,1,0,True,10,21,0,0,1
triangulated,10,100,36,0,3,"((6, 6), (7, 5))",1.3677417966917613,0.8414888848303375,110,20,5.5,1,0,True,10,20,0,0,1
triangulated,10,100,36,0,4,"((1, 1), (2, 0))",0.9146094267886397,0.9552677328352599,96,27,3.5555555555555554,1,0,True,8,11,0,0,1
triangulated,10,100,36,0,5,"((4, 4), (5, 3))",0.8397293373134728,0.3688771202914102,92,24,3.8333333333333335,1,0,True,13,14,0,0,1
triangulated,10,100,36,1,0,"((7, 3), (7, 4))",1.0172152273107684,0.7135793322025481,102,15,6.8,1,0,True,4,14,0,0,0
triangulated,10,100,36,1,1,"((5, 2), (6, 2))",0.8168941278755385,0.6110599386798407,128,20,6.4,1,0,True,12,17,0,0,1
triangulated,10,100,36,1,2,"((5, 2), (6, 2))",1.4279540665553792,0.4539688667671005,56,11,5.090909090909091,1,0,True,4,11,0,0,1
triangulated,10,100,36,1,3,"((4, 4), (5, 5))",1.4515900468668403,1.1980249712426527,194,24,8.083333333333334,1,0,True,10,24,0,0,1
triangulated,10,100,36,1,4,"((5, 5), (6, 4))",1.5259757047450573,0.41153389613482405,82,18,4.555555555555555,1,0,True,6,13,0,0,0
triangulated,10,100,36,1,5,"((7, 5), (8, 4))",0.9400778759600177,0.4418087730401448,134,27,4.962962962962963,1,0,True,11,15,0,0,1
triangulated,12,144,44,0,0,"((10, 10), (11, 10))",1.1754811675866215,0.8170978635756629,78,40,1.95,1,0,True,2,1,0,0,0
triangulated,12,144,44,0,1,"((6, 8), (7, 9))",1.2503684905247994,0.6842132026225027,202,29,6.9655172413793105,1,0,True,18,23,0,0,1
triangulated,12,144,44,0,2,"((5, 6), (5, 7))",1.8606790658136123,0.8721618358426945,60,16,3.75,1,0,True,8,11,0,0,0
triangulated,12,144,44,0,3,"((10, 8), (10, 9))",1.0010287972743992,0.3501624824591704,96,23,4.173913043478261,1,0,True,6,12,0,0,0
triangulated,12,144,44,0,4,"((1, 4), (1, 5))",1.1345252395151282,0.6416192163694403,148,19,7.7894736842105265,1,0,True,6,19,0,0,1
triangulated,12,144,44,0,5,"((3, 5), (4, 6))",1.1206857232916818,0.3063141527892369,98,21,4.666666666666667,1,0,True,13,18,0,0,1
triangulated,12,144,44,1,0,"((7, 1), (8, 0))",1.0901285706864396,0.6462651597630357,178,30,5.933333333333334,1,0,True,8,18,0,0,1
triangulated,12,144,44,1,1,"((6, 2), (7, 1))",0.955916461104498,0.41704142528262816,144,35,4.114285714285714,1,0,True,9,14,0,0,1
triangulated,12,144,44,1,2,"((8, 4), (8, 5))",1.617428537574137,1.3477325270587106,176,20,8.8,1,0,True,8,20,0,0,1
triangulated,12,144,44,1,3,"((8, 10), (9, 9))",1.48276819199659,0.40597720880072585,82,22,3.727272727272727,1,0,True,4,6,0,0,0
triangulated,12,144,44,1,4,"((2, 3), (2, 4))",1.313195883089075,0.37316471692005687,172,23,7.478260869565218,1,0,True,12,22,0,0,1
triangulated,12,144,44,1,5,"((4, 6), (5, 5))",0.8260671001711914,0.7474924213591797,90,15,6.0,1,0,True,6,14,0,0,0
road,6,36,20,0,0,"((3, 0), (3, 1))",0.9982500318681895,0.7023950903223057,102,20,5.1,1,0,True,14,18,0,0,1
road,6,36,20,0,1,"((3, 3), (4, 3))",1.3210700181804087,1.070905645935135,68,17,4.0,1,0,True,9,11,0,0,1
road,6,36,20,0,2,"((4, 2), (5, 2))",1.5795433228913636,0.8795924412844597,36,11,3.272727272727273,1,0,True,6,7,0,0,1
road,6,36,20,0,3,"((2, 0), (3, 0))",1.7877960848287309,0.512605447507653,96,19,5.052631578947368,1,0,True,12,17,0,0,0
road,6,36,20,0,4,"((3, 0), (3, 1))",1.7006451221904952,1.342613746638997,38,11,3.4545454545454546,1,0,True,8,8,0,0,1
road,6,36,20,0,5,"((3, 3), (3, 4))",0.8723366317045539,0.5369534055768179,34,10,3.4,1,0,True,9,8,0,0,1
road,6,36,20,1,0,"((2, 4), (2, 5))",1.1884048995638041,0.4668293729755275,46,14,3.2857142857142856,1,0,True,8,11,0,0,1
road,6,36,20,1,1,"((2, 1), (2, 2))",1.027648398235027,0.27000195743528643,84,18,4.666666666666667,1,0,True,15,16,0,0,1
road,6,36,20,1,2,"((2, 1), (3, 1))",1.4497149554373698,1.021456862381309,66,16,4.125,1,0,True,11,11,0,0,1
